Address	Zip	Lat.	Long.
1	c p w 67 approach, Manhattan, NY	11201	40.7000918	-73.9867638
2	c p w 67 approach, Manhattan, NY	11206	40.7048413	-73.944556
3	c p w 67 approach, Manhattan, NY	11235	40.5882552	-73.9648358
4	c p w 67 approach, Manhattan, NY	10069	40.7774634	-73.9888738
5	c p w 67 approach, Manhattan, NY	10065	40.7668961	-73.9637235
6	c p w 67 approach, Manhattan, NY	10307	40.5071715	-74.2434073
--	c rd, Manhattan, NY	10035	40.7883435	-73.9250259
0	cabrini blvd extension, Manhattan, NY	None	40.790278	-73.959722
1	cabrini blvd extension, Manhattan, NY	None	40.7830603	-73.9712488
--	cammarata ave, Manhattan, NY	10035	40.7909406	-73.9170729
0	camp laguardia rd, Manhattan, NY	11371	40.7719063	-73.8700551
1	camp laguardia rd, Manhattan, NY	10012	40.7288689	-73.9976555
--	cannon st, Manhattan, NY	10002	40.7151188	-73.9802919
--	carder rd, Manhattan, NY	11231	40.6927489	-74.0154977
--	carl lee pl, Manhattan, NY	10035	40.7923446	-73.9205063
--	carlisle st, Manhattan, NY	10006	40.7090989	-74.0140667
--	caroline st, Manhattan, NY	11104	40.7464496	-73.9170958
--	cartigan rd, Manhattan, NY	11231	40.68739	-74.0168239
--	catherine slip, Manhattan, NY	None	40.7101802	-73.9964981
--	cbe nb entrance riverside drv, Manhattan, NY	None	40.8491735	-73.9430099
--	cbe sb entrance amsterdam ave, Manhattan, NY	None	40.8417149	-73.9355771
0	cbe sb entrance washington brdg, Manhattan, NY	None	40.790278	-73.959722
1	cbe sb entrance washington brdg, Manhattan, NY	None	40.7830603	-73.9712488
0	census boundary, Manhattan, NY	None	40.790278	-73.959722
1	census boundary, Manhattan, NY	None	40.7830603	-73.9712488
--	center dr, Manhattan, NY	10019	40.7685651	-73.9756304
--	central park e 102 st appr, Manhattan, NY	10029	40.7890143	-73.9465351
--	central park gr hill, Manhattan, NY	10025	40.7970421	-73.9581586
0	central park lenox ave appr, Manhattan, NY	32118	29.2164692	-81.0057265
1	central park lenox ave appr, Manhattan, NY	73116	35.5394702	-97.5379375
--	central park powell blvd appr, Manhattan, NY	10026	40.7992741	-73.955552
--	central park w 106 st appr, Manhattan, NY	10025	40.8004304	-73.9657166
