,Unnamed: 0,boro,stname,numeric_ind,GFT,len_full_name,num_of_progens,progen_word_1,progen_gft_1,progen_b10sc_1,progen_word_2,progen_gft_2,progen_b10sc_2,clean_name
928,928,2, 212 STREET                     ,N,S,16,1,E, ,22799001010, , ,           ,212 st
929,929,2, 213 STREET                     ,N,S,16,1,E, ,22802001010, , ,           ,213 st
930,930,2, 214 STREET                     ,N,S,16,1,E, ,22805001010, , ,           ,214 st
931,931,2, 215 STREET                     ,N,S,16,1,E, ,22808001010, , ,           ,215 st
932,932,2, 216 STREET                     ,N,S,16,1,E, ,22811001010, , ,           ,216 st
933,933,2, 217 STREET                     ,N,S,16,1,E, ,22814001010, , ,           ,217 st
934,934,2, 218 STREET                     ,N,S,16,1,E, ,22817001010, , ,           ,218 st
935,935,2, 219 STREET                     ,N,S,16,1,E, ,22820001010, , ,           ,219 st
936,936,2, 220 STREET                     ,N,S,16,1,E, ,22823001010, , ,           ,220 st
937,937,2, 221 STREET                     ,N,S,16,1,E, ,22826001010, , ,           ,221 st
938,938,2, 222 ST BRIDGE                  ,N,S,19,1,E,B,29810004130, , ,           ,222 st bridge
939,939,2, 222 ST FOOT BRIDGE             ,N,S,24,1,E,B,29810004110, , ,           ,222 st foot bridge
940,940,2, 222 ST FOOTBRIDGE              ,N,S,23,1,E,B,29810004090, , ,           ,222 st footbridge
941,941,2, 222 ST I   95 SB EN            ,N,S,25,1,E,Z,21109501510, , ,           ,222 st i 95 sb en
942,942,2, 222 ST I-95 SOUTHBOUND EN      ,N,S,31,1,E,Z,21109501280, , ,           ,222 st i95 southbound en
943,943,2, 222 ST IN   95 SB EN           ,N,S,26,1,E,Z,21109501320, , ,           ,222 st in 95 sb en
944,944,2, 222 ST NET SOUTHBOUND EN       ,N,S,30,1,E,Z,21109501200, , ,           ,222 st net southbound en
945,945,2, 222 ST PED BRIDGE              ,N,S,23,1,E,B,29810004070, , ,           ,222 st ped bridge
946,946,2, 222 ST PED OVERPASS            ,N,S,25,1,E,B,29810004030, , ,           ,222 st ped overpass
947,947,2, 222 ST PEDESTRIAN BRIDGE       ,N,S,30,1,E,B,29810004050, , ,           ,222 st pedestrian bridge
948,948,2, 222 ST PEDESTRIAN OVERPASS     ,N,S,32,1,E,B,29810004010, , ,           ,222 st pedestrian overpass
949,949,2, 222 ST SB ENTRANCE I   95      ,N,S,31,1,E,Z,21109501230, , ,           ,222 st sb entrance i 95
950,950,2, 222 ST SB ENTRANCE I-95        ,N,S,29,1,E,Z,21109501270, , ,           ,222 st sb entrance i95
951,951,2, 222 ST SB ENTRANCE IN   95     ,N,S,32,1,E,Z,21109501310, , ,           ,222 st sb entrance in 95
952,952,2, 222 ST SB ENTRANCE NET         ,N,S,28,1,E,Z,21109501190, , ,           ,222 st sb entrance net
953,953,2, 222 ST SB I   95 SB EN         ,N,S,28,1,E,Z,21109501240, , ,           ,222 st sb i 95 sb en
954,954,2, 222 STREET                     ,N,S,16,1,E, ,22829001010, , ,           ,222 st
955,955,2, 222 STREET BRIDGE              ,N,S,23,1,E,B,29810004140, , ,           ,222 street bridge
956,956,2, 222 STREET FOOT BRIDGE         ,N,S,28,1,E,B,29810004120, , ,           ,222 street foot bridge
957,957,2, 222 STREET FOOTBRIDGE          ,N,S,27,1,E,B,29810004100, , ,           ,222 street footbridge
958,958,2, 222 STREET I   95 SB EN        ,N,S,29,1,E,Z,21109501220, , ,           ,222 street i 95 sb en
959,959,2, 222 STREET I-95 SB EN          ,N,S,27,1,E,Z,21109501260, , ,           ,222 street i95 sb en
960,960,2, 222 STREET IN   95 SB EN       ,N,S,30,1,E,Z,21109501300, , ,           ,222 street in 95 sb en
961,961,2, 222 STREET NET SB EN           ,N,S,26,1,E,Z,21109501180, , ,           ,222 street net sb en
962,962,2, 222 STREET PED BRIDGE          ,N,S,27,1,E,B,29810004080, , ,           ,222 street ped bridge
963,963,2, 222 STREET PED OVERPASS        ,N,S,29,1,E,B,29810004040, , ,           ,222 street ped overpass
964,964,2, 222 STREET PEDESTRIAN BRDG     ,N,S,32,1,E,B,29810004060, , ,           ,222 street pedestrian brdg
965,965,2, 222 STREET PEDESTRIAN OVPS     ,N,S,32,1,E,B,29810004020, , ,           ,222 street pedestrian ovps
966,966,2, 222 STREET SB ENTRANCE NET     ,N,S,32,1,E,Z,21109501170, , ,           ,222 street sb entrance net
967,967,2, 223 STREET                     ,N,S,16,1,E, ,22832001010, , ,           ,223 st
